# This is F1TENTH simulation from 25.11.2022 at time 14:55:37
# Done with git-revision: unknown
#
# Saving: 0.03 s
#
# Controller: Blank-MPPI-0
#
# Data:
time,translational_control,angular_control,pose_x,pose_y,pose_theta,linear_vel_x,linear_vel_y,angular_vel_z,pose_theta_cos,pose_theta_sin,slip_angle,steering_angle,LIDAR_0,LIDAR_1,LIDAR_2,LIDAR_3,LIDAR_4,LIDAR_5,LIDAR_6,LIDAR_7,LIDAR_8,LIDAR_9,LIDAR_10,LIDAR_11,LIDAR_12,LIDAR_13,LIDAR_14,LIDAR_15,LIDAR_16,LIDAR_17,LIDAR_18,LIDAR_19,LIDAR_20,LIDAR_21,LIDAR_22,LIDAR_23,LIDAR_24,LIDAR_25,LIDAR_26,LIDAR_27,LIDAR_28,LIDAR_29,LIDAR_30,LIDAR_31,LIDAR_32,LIDAR_33,LIDAR_34,LIDAR_35,LIDAR_36,LIDAR_37,LIDAR_38,LIDAR_39,LIDAR_40,LIDAR_41,LIDAR_42,LIDAR_43,LIDAR_44,LIDAR_45,LIDAR_46,LIDAR_47,LIDAR_48,LIDAR_49,LIDAR_50,LIDAR_51,LIDAR_52,LIDAR_53,LIDAR_54,LIDAR_55,LIDAR_56,LIDAR_57,LIDAR_58,LIDAR_59,LIDAR_60,LIDAR_61,LIDAR_62,LIDAR_63,LIDAR_64,LIDAR_65,LIDAR_66,LIDAR_67,WYPT_X_0,WYPT_X_1,WYPT_X_2,WYPT_X_3,WYPT_X_4,WYPT_X_5,WYPT_X_6,WYPT_X_7,WYPT_X_8,WYPT_X_9,WYPT_X_10,WYPT_X_11,WYPT_X_12,WYPT_X_13,WYPT_X_14,WYPT_Y_0,WYPT_Y_1,WYPT_Y_2,WYPT_Y_3,WYPT_Y_4,WYPT_Y_5,WYPT_Y_6,WYPT_Y_7,WYPT_Y_8,WYPT_Y_9,WYPT_Y_10,WYPT_Y_11,WYPT_Y_12,WYPT_Y_13,WYPT_Y_14
0.0,10.0,0.0,0.07,0.3,2.798,0.0,0.0,0.0,-0.942,0.337,0.0,0.0,0.685,0.702,0.712,0.699,0.717,0.72,0.751,0.764,0.738,0.753,0.814,0.773,0.818,0.846,0.832,0.92,0.932,0.989,1.029,1.093,1.148,1.165,1.3,1.368,1.422,1.644,1.796,1.991,2.242,2.534,3.023,3.729,4.657,6.788,12.253,27.602,29.032,17.904,11.089,8.214,6.419,5.343,4.46,3.995,3.596,3.179,2.879,2.686,2.49,2.358,2.195,2.139,2.022,1.929,1.819,1.735,1.718,1.601,1.613,1.509,1.502,1.477,1.471,1.41,1.361,1.373,1.321,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,10.0,0.0,0.068,0.301,2.798,0.285,0.0,0.001,-0.942,0.337,0.002,0.005,0.697,0.705,0.728,0.709,0.702,0.715,0.75,0.751,0.759,0.744,0.822,0.815,0.811,0.852,0.841,0.893,0.94,0.979,1.04,1.081,1.133,1.177,1.295,1.359,1.408,1.644,1.765,1.967,2.235,2.517,2.994,3.701,4.773,6.789,12.092,27.602,29.034,17.915,11.063,8.188,6.367,5.34,4.545,4.004,3.577,3.158,2.921,2.685,2.479,2.393,2.192,2.115,2.012,1.919,1.826,1.725,1.69,1.603,1.616,1.538,1.5,1.471,1.475,1.423,1.346,1.378,1.336,1.331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,10.0,0.0,0.057,0.305,2.798,0.571,0.0,0.059,-0.942,0.337,-0.001,0.009,0.713,0.719,0.708,0.7,0.706,0.726,0.759,0.753,0.735,0.761,0.817,0.816,0.82,0.847,0.887,0.897,0.919,1.022,1.045,1.079,1.145,1.223,1.24,1.386,1.471,1.61,1.82,1.948,2.229,2.523,2.957,3.704,4.78,6.771,12.246,27.584,29.031,17.916,11.253,8.215,6.388,5.322,4.624,4.044,3.577,3.179,2.884,2.72,2.492,2.371,2.206,2.103,2.024,1.889,1.782,1.754,1.703,1.644,1.63,1.554,1.551,1.463,1.469,1.428,1.375,1.357,1.321,1.399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,10.0,0.0,0.038,0.312,2.799,0.856,0.0,-0.04,-0.942,0.336,0.008,0.008,0.651,0.712,0.714,0.711,0.72,0.767,0.721,0.756,0.751,0.797,0.808,0.823,0.832,0.855,0.891,0.924,0.968,0.978,1.028,1.094,1.132,1.213,1.319,1.381,1.506,1.63,1.777,1.937,2.226,2.532,3.087,3.699,4.782,6.762,12.065,27.564,29.007,17.113,10.893,8.183,6.376,5.31,4.617,4.055,3.57,3.16,2.896,2.75,2.495,2.371,2.216,2.112,1.998,1.897,1.783,1.771,1.649,1.628,1.614,1.538,1.528,1.464,1.445,1.416,1.43,1.406,1.375,1.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,10.0,0.0,0.011,0.321,2.799,1.141,0.0,0.023,-0.942,0.336,0.003,0.008,0.71,0.711,0.718,0.719,0.736,0.713,0.732,0.699,0.762,0.797,0.809,0.802,0.809,0.851,0.891,0.89,0.984,0.993,1.053,1.087,1.135,1.216,1.291,1.35,1.478,1.599,1.75,1.894,2.193,2.496,3.06,3.809,4.744,6.732,12.195,27.521,28.975,17.056,10.894,8.118,6.483,5.301,4.561,4.0,3.546,3.218,2.894,2.745,2.477,2.364,2.222,2.122,1.971,1.874,1.802,1.795,1.7,1.65,1.561,1.545,1.476,1.45,1.426,1.448,1.387,1.363,1.389,1.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,10.0,0.0,-0.024,0.334,2.8,1.426,0.0,0.018,-0.942,0.335,0.002,0.0,0.69,0.699,0.688,0.762,0.731,0.737,0.737,0.742,0.752,0.773,0.764,0.764,0.818,0.891,0.887,0.936,0.905,0.954,1.06,1.056,1.146,1.187,1.317,1.352,1.436,1.604,1.761,1.98,2.166,2.578,3.004,3.749,4.828,7.007,12.025,27.507,28.938,17.03,10.985,8.099,6.327,5.421,4.545,3.981,3.515,3.272,2.978,2.684,2.545,2.354,2.209,2.095,1.984,1.89,1.847,1.747,1.684,1.622,1.58,1.577,1.505,1.499,1.422,1.427,1.411,1.374,1.388,1.354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,10.0,0.0,-0.067,0.349,2.8,1.712,0.0,0.013,-0.942,0.335,0.001,0.004,0.712,0.724,0.704,0.727,0.709,0.707,0.765,0.755,0.753,0.732,0.74,0.836,0.85,0.856,0.872,0.899,0.926,0.995,1.037,1.052,1.163,1.148,1.257,1.376,1.495,1.591,1.699,1.971,2.209,2.549,3.019,3.694,4.822,6.94,12.585,27.489,28.846,17.195,10.967,8.065,6.434,5.219,4.62,4.076,3.562,3.204,2.934,2.668,2.517,2.406,2.242,2.118,2.021,1.885,1.826,1.724,1.697,1.632,1.579,1.547,1.482,1.462,1.492,1.436,1.442,1.374,1.327,1.387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.21,10.0,0.0,-0.118,0.367,2.801,1.997,0.0,0.016,-0.942,0.334,0.001,0.006,0.73,0.713,0.717,0.69,0.719,0.725,0.724,0.722,0.732,0.769,0.764,0.777,0.791,0.838,0.908,0.903,0.978,0.988,1.005,1.078,1.131,1.203,1.246,1.375,1.46,1.62,1.764,1.943,2.187,2.503,2.953,3.673,4.767,6.928,12.524,27.547,28.831,17.277,10.874,8.019,6.401,5.33,4.584,3.983,3.568,3.201,2.93,2.735,2.47,2.366,2.234,2.087,2.004,1.881,1.822,1.784,1.683,1.648,1.571,1.554,1.512,1.476,1.438,1.44,1.41,1.431,1.356,1.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,10.0,0.0,-0.177,0.388,2.801,2.282,0.0,0.03,-0.943,0.334,0.002,0.006,0.695,0.701,0.74,0.724,0.721,0.74,0.723,0.733,0.742,0.776,0.798,0.785,0.801,0.838,0.866,0.91,0.963,0.947,1.009,1.045,1.156,1.204,1.258,1.39,1.427,1.584,1.727,1.939,2.189,2.549,2.904,3.646,4.822,6.829,12.458,27.48,28.837,17.207,10.994,8.11,6.473,5.258,4.537,3.949,3.502,3.261,2.967,2.681,2.561,2.332,2.189,2.087,2.014,1.939,1.816,1.749,1.694,1.674,1.583,1.581,1.513,1.509,1.477,1.408,1.402,1.357,1.363,1.391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.27,10.0,0.0,-0.245,0.411,2.802,2.568,0.0,0.036,-0.943,0.333,0.002,0.012,0.718,0.703,0.714,0.664,0.695,0.691,0.721,0.725,0.727,0.73,0.774,0.813,0.812,0.857,0.892,0.914,0.916,0.946,1.003,1.054,1.129,1.155,1.265,1.338,1.457,1.602,1.769,1.934,2.208,2.503,2.968,3.682,4.75,6.758,12.395,27.378,28.803,16.706,10.758,8.181,6.384,5.32,4.626,4.023,3.579,3.191,2.935,2.747,2.494,2.336,2.251,2.142,2.034,1.897,1.841,1.771,1.708,1.675,1.606,1.574,1.531,1.485,1.493,1.458,1.421,1.423,1.39,1.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
