# This is F1TENTH simulation from 07.12.2023 at time 22:39:02
# Done with git-revision: unknown
# Starting position :,"[0.0, 0.0, 0.0]"
# Saving: 0.02 s
# Speedfactor 0.8
# Controller: Blank-MPPI-1
#
# Data:
time,angular_vel_z,linear_vel_x,pose_theta,pose_theta_cos,pose_theta_sin,pose_x,pose_y,slip_angle,steering_angle,angular_control_calculated,translational_control_calculated,WYPT_X_00,WYPT_X_01,WYPT_X_02,WYPT_X_03,WYPT_X_04,WYPT_X_05,WYPT_X_06,WYPT_X_07,WYPT_X_08,WYPT_X_09,WYPT_X_10,WYPT_X_11,WYPT_X_12,WYPT_X_13,WYPT_X_14,WYPT_X_15,WYPT_X_16,WYPT_X_17,WYPT_X_18,WYPT_X_19,WYPT_X_20,WYPT_X_21,WYPT_X_22,WYPT_X_23,WYPT_X_24,WYPT_X_25,WYPT_X_26,WYPT_X_27,WYPT_X_28,WYPT_X_29,WYPT_Y_00,WYPT_Y_01,WYPT_Y_02,WYPT_Y_03,WYPT_Y_04,WYPT_Y_05,WYPT_Y_06,WYPT_Y_07,WYPT_Y_08,WYPT_Y_09,WYPT_Y_10,WYPT_Y_11,WYPT_Y_12,WYPT_Y_13,WYPT_Y_14,WYPT_Y_15,WYPT_Y_16,WYPT_Y_17,WYPT_Y_18,WYPT_Y_19,WYPT_Y_20,WYPT_Y_21,WYPT_Y_22,WYPT_Y_23,WYPT_Y_24,WYPT_Y_25,WYPT_Y_26,WYPT_Y_27,WYPT_Y_28,WYPT_Y_29,WYPT_VX_00,WYPT_VX_01,WYPT_VX_02,WYPT_VX_03,WYPT_VX_04,WYPT_VX_05,WYPT_VX_06,WYPT_VX_07,WYPT_VX_08,WYPT_VX_09,WYPT_VX_10,WYPT_VX_11,WYPT_VX_12,WYPT_VX_13,WYPT_VX_14,WYPT_VX_15,WYPT_VX_16,WYPT_VX_17,WYPT_VX_18,WYPT_VX_19,WYPT_VX_20,WYPT_VX_21,WYPT_VX_22,WYPT_VX_23,WYPT_VX_24,WYPT_VX_25,WYPT_VX_26,WYPT_VX_27,WYPT_VX_28,WYPT_VX_29,WYPT_REL_X_00,WYPT_REL_X_01,WYPT_REL_X_02,WYPT_REL_X_03,WYPT_REL_X_04,WYPT_REL_X_05,WYPT_REL_X_06,WYPT_REL_X_07,WYPT_REL_X_08,WYPT_REL_X_09,WYPT_REL_X_10,WYPT_REL_X_11,WYPT_REL_X_12,WYPT_REL_X_13,WYPT_REL_X_14,WYPT_REL_X_15,WYPT_REL_X_16,WYPT_REL_X_17,WYPT_REL_X_18,WYPT_REL_X_19,WYPT_REL_X_20,WYPT_REL_X_21,WYPT_REL_X_22,WYPT_REL_X_23,WYPT_REL_X_24,WYPT_REL_X_25,WYPT_REL_X_26,WYPT_REL_X_27,WYPT_REL_X_28,WYPT_REL_X_29,WYPT_REL_Y_00,WYPT_REL_Y_01,WYPT_REL_Y_02,WYPT_REL_Y_03,WYPT_REL_Y_04,WYPT_REL_Y_05,WYPT_REL_Y_06,WYPT_REL_Y_07,WYPT_REL_Y_08,WYPT_REL_Y_09,WYPT_REL_Y_10,WYPT_REL_Y_11,WYPT_REL_Y_12,WYPT_REL_Y_13,WYPT_REL_Y_14,WYPT_REL_Y_15,WYPT_REL_Y_16,WYPT_REL_Y_17,WYPT_REL_Y_18,WYPT_REL_Y_19,WYPT_REL_Y_20,WYPT_REL_Y_21,WYPT_REL_Y_22,WYPT_REL_Y_23,WYPT_REL_Y_24,WYPT_REL_Y_25,WYPT_REL_Y_26,WYPT_REL_Y_27,WYPT_REL_Y_28,WYPT_REL_Y_29,LIDAR_0040,LIDAR_0065,LIDAR_0090,LIDAR_0115,LIDAR_0140,LIDAR_0165,LIDAR_0190,LIDAR_0215,LIDAR_0240,LIDAR_0265,LIDAR_0290,LIDAR_0315,LIDAR_0340,LIDAR_0365,LIDAR_0390,LIDAR_0415,LIDAR_0440,LIDAR_0465,LIDAR_0490,LIDAR_0515,LIDAR_0540,LIDAR_0565,LIDAR_0590,LIDAR_0615,LIDAR_0640,LIDAR_0665,LIDAR_0690,LIDAR_0715,LIDAR_0740,LIDAR_0765,LIDAR_0790,LIDAR_0815,LIDAR_0840,LIDAR_0865,LIDAR_0890,LIDAR_0915,LIDAR_0940,LIDAR_0965,LIDAR_0990,LIDAR_1015,translational_control_applied,angular_control_applied,mu
0.0,0.001,3.621,-0.394,0.924,-0.383,-0.739,0.614,0.0,0.028,0.0,10.0,-0.387,0.007,0.406,0.803,1.182,1.355,1.641,1.807,1.852,1.799,1.672,1.502,1.323,1.157,1.026,0.964,1.013,1.198,1.481,1.816,2.18,2.558,2.941,3.318,3.679,4.006,4.267,4.433,4.489,4.445,0.26,0.194,0.174,0.216,0.341,0.441,0.717,1.079,1.475,1.87,2.249,2.611,2.969,3.333,3.71,4.104,4.499,4.851,5.132,5.35,5.515,5.644,5.762,5.895,6.064,6.294,6.596,6.957,7.352,7.749,4.27,3.932,3.619,3.387,3.304,2.879,2.813,2.848,3.068,3.316,3.637,4.062,4.181,3.648,3.215,2.916,2.806,2.769,3.1,3.463,3.826,4.228,4.256,3.777,3.428,3.189,3.121,3.062,3.186,3.369,0.461,0.851,1.227,1.578,1.88,2.002,2.16,2.175,2.064,1.864,1.601,1.306,1.004,0.711,0.445,0.237,0.131,0.167,0.321,0.547,0.82,1.12,1.428,1.726,1.995,2.209,2.334,2.35,2.25,2.058,-0.193,-0.102,0.032,0.223,0.484,0.642,1.007,1.404,1.788,2.133,2.434,2.704,2.966,3.238,3.537,3.877,4.261,4.657,5.025,5.355,5.647,5.911,6.166,6.433,6.728,7.066,7.444,7.842,8.228,8.578,1.827,1.695,1.673,1.561,1.596,1.504,1.493,1.496,1.533,1.553,1.661,1.799,2.052,2.245,2.659,3.378,3.773,3.679,3.631,3.672,3.709,3.862,4.032,4.224,4.552,4.873,4.684,1.658,1.567,1.534,1.539,1.596,1.632,1.701,1.793,1.956,2.174,2.449,2.749,3.107,10.0,0.0,0.66
0.02,-0.008,3.488,-0.386,0.926,-0.376,-0.661,0.582,0.0,0.028,0.036,3.341,-0.387,0.007,0.406,0.803,1.182,1.355,1.641,1.807,1.852,1.799,1.672,1.502,1.323,1.157,1.026,0.964,1.013,1.198,1.481,1.816,2.18,2.558,2.941,3.318,3.679,4.006,4.267,4.433,4.489,4.445,0.26,0.194,0.174,0.216,0.341,0.441,0.717,1.079,1.475,1.87,2.249,2.611,2.969,3.333,3.71,4.104,4.499,4.851,5.132,5.35,5.515,5.644,5.762,5.895,6.064,6.294,6.596,6.957,7.352,7.749,4.27,3.932,3.619,3.387,3.304,2.879,2.813,2.848,3.068,3.316,3.637,4.062,4.181,3.648,3.215,2.916,2.806,2.769,3.1,3.463,3.826,4.228,4.256,3.777,3.428,3.189,3.121,3.062,3.186,3.369,0.375,0.765,1.142,1.494,1.797,1.92,2.081,2.099,1.991,1.794,1.533,1.24,0.94,0.649,0.386,0.18,0.078,0.116,0.273,0.501,0.776,1.078,1.387,1.687,1.958,2.174,2.302,2.32,2.223,2.034,-0.195,-0.108,0.023,0.211,0.47,0.627,0.991,1.388,1.772,2.118,2.421,2.693,2.956,3.23,3.531,3.873,4.257,4.652,5.019,5.346,5.636,5.898,6.151,6.416,6.709,7.044,7.422,7.819,8.206,8.557,3.459,3.091,2.872,2.631,2.492,2.323,2.212,2.164,2.176,2.101,2.105,2.206,2.178,2.239,2.376,2.569,2.9,3.283,4.038,4.668,4.509,4.507,4.434,4.445,4.547,4.723,4.924,1.757,1.633,1.567,1.5,1.488,1.476,1.424,1.405,1.464,1.538,1.597,1.738,1.868,3.341,0.036,0.66
0.04,-0.01,3.447,-0.383,0.927,-0.374,-0.618,0.564,0.0,0.028,0.002,3.364,-0.387,0.007,0.406,0.803,1.182,1.355,1.641,1.807,1.852,1.799,1.672,1.502,1.323,1.157,1.026,0.964,1.013,1.198,1.481,1.816,2.18,2.558,2.941,3.318,3.679,4.006,4.267,4.433,4.489,4.445,0.26,0.194,0.174,0.216,0.341,0.441,0.717,1.079,1.475,1.87,2.249,2.611,2.969,3.333,3.71,4.104,4.499,4.851,5.132,5.35,5.515,5.644,5.762,5.895,6.064,6.294,6.596,6.957,7.352,7.749,4.27,3.932,3.619,3.387,3.304,2.879,2.813,2.848,3.068,3.316,3.637,4.062,4.181,3.648,3.215,2.916,2.806,2.769,3.1,3.463,3.826,4.228,4.256,3.777,3.428,3.189,3.121,3.062,3.186,3.369,0.328,0.718,1.096,1.448,1.752,1.875,2.037,2.056,1.949,1.752,1.492,1.2,0.9,0.61,0.347,0.143,0.04,0.08,0.237,0.466,0.742,1.045,1.355,1.655,1.927,2.143,2.272,2.291,2.195,2.006,-0.196,-0.109,0.021,0.209,0.466,0.624,0.987,1.384,1.768,2.115,2.418,2.691,2.955,3.23,3.531,3.874,4.258,4.654,5.02,5.347,5.636,5.897,6.15,6.413,6.706,7.041,7.418,7.816,8.203,8.554,3.409,3.087,2.81,2.589,2.446,2.384,2.213,2.094,2.109,2.089,2.093,2.142,2.144,2.283,2.387,2.605,2.905,3.346,4.092,4.56,4.419,4.369,4.382,4.425,4.512,4.648,4.872,1.685,1.606,1.513,1.477,1.399,1.389,1.435,1.456,1.476,1.503,1.602,1.735,1.884,3.364,0.002,0.66
0.06,-0.01,3.447,-0.375,0.931,-0.366,-0.534,0.533,0.0,0.097,-0.005,3.48,-0.387,0.007,0.406,0.803,1.182,1.355,1.641,1.807,1.852,1.799,1.672,1.502,1.323,1.157,1.026,0.964,1.013,1.198,1.481,1.816,2.18,2.558,2.941,3.318,3.679,4.006,4.267,4.433,4.489,4.445,0.26,0.194,0.174,0.216,0.341,0.441,0.717,1.079,1.475,1.87,2.249,2.611,2.969,3.333,3.71,4.104,4.499,4.851,5.132,5.35,5.515,5.644,5.762,5.895,6.064,6.294,6.596,6.957,7.352,7.749,4.27,3.932,3.619,3.387,3.304,2.879,2.813,2.848,3.068,3.316,3.637,4.062,4.181,3.648,3.215,2.916,2.806,2.769,3.1,3.463,3.826,4.228,4.256,3.777,3.428,3.189,3.121,3.062,3.186,3.369,0.237,0.628,1.007,1.361,1.668,1.793,1.958,1.98,1.877,1.682,1.425,1.135,0.838,0.55,0.29,0.088,-0.011,0.032,0.193,0.425,0.703,1.008,1.321,1.624,1.898,2.118,2.251,2.273,2.18,1.995,-0.201,-0.118,0.01,0.194,0.449,0.605,0.968,1.365,1.75,2.099,2.405,2.68,2.948,3.225,3.529,3.873,4.259,4.654,5.02,5.345,5.632,5.89,6.14,6.401,6.692,7.025,7.401,7.799,8.187,8.541,3.374,3.034,2.829,2.605,2.452,2.305,2.214,2.087,2.048,2.057,2.111,2.164,2.104,2.234,2.392,2.565,2.897,3.284,4.065,4.504,4.417,4.333,4.344,4.345,4.446,4.587,4.777,1.718,1.571,1.468,1.464,1.443,1.463,1.393,1.415,1.446,1.519,1.636,1.712,1.851,3.48,-0.005,0.66
0.08,-0.017,3.427,-0.371,0.932,-0.363,-0.505,0.523,0.0,0.097,-0.014,3.593,0.007,0.406,0.803,1.182,1.355,1.641,1.807,1.852,1.799,1.672,1.502,1.323,1.157,1.026,0.964,1.013,1.198,1.481,1.816,2.18,2.558,2.941,3.318,3.679,4.006,4.267,4.433,4.489,4.445,4.317,0.194,0.174,0.216,0.341,0.441,0.717,1.079,1.475,1.87,2.249,2.611,2.969,3.333,3.71,4.104,4.499,4.851,5.132,5.35,5.515,5.644,5.762,5.895,6.064,6.294,6.596,6.957,7.352,7.749,8.127,3.932,3.619,3.387,3.304,2.879,2.813,2.848,3.068,3.316,3.637,4.062,4.181,3.648,3.215,2.916,2.806,2.769,3.1,3.463,3.826,4.228,4.256,3.777,3.428,3.189,3.121,3.062,3.186,3.369,3.531,0.597,0.976,1.331,1.638,1.764,1.93,1.953,1.851,1.658,1.402,1.113,0.816,0.529,0.27,0.069,-0.028,0.016,0.178,0.411,0.69,0.996,1.309,1.613,1.888,2.109,2.243,2.267,2.175,1.991,1.734,-0.121,0.005,0.188,0.443,0.598,0.96,1.357,1.743,2.092,2.399,2.675,2.943,3.222,3.526,3.871,4.257,4.652,5.017,5.341,5.628,5.885,6.134,6.394,6.684,7.016,7.392,7.79,8.178,8.532,8.837,3.302,2.993,2.7,2.551,2.322,2.228,2.144,2.108,2.05,2.038,2.1,2.063,2.053,2.167,2.299,2.557,2.853,3.283,4.056,4.386,4.29,4.241,4.238,4.298,4.363,4.533,4.739,1.661,1.598,1.486,1.441,1.39,1.378,1.396,1.377,1.421,1.519,1.603,1.687,1.822,3.593,-0.014,0.66
0.1,-0.017,3.427,-0.363,0.935,-0.355,-0.421,0.49,0.0,0.07,0.007,3.729,0.007,0.406,0.803,1.182,1.355,1.641,1.807,1.852,1.799,1.672,1.502,1.323,1.157,1.026,0.964,1.013,1.198,1.481,1.816,2.18,2.558,2.941,3.318,3.679,4.006,4.267,4.433,4.489,4.445,4.317,0.194,0.174,0.216,0.341,0.441,0.717,1.079,1.475,1.87,2.249,2.611,2.969,3.333,3.71,4.104,4.499,4.851,5.132,5.35,5.515,5.644,5.762,5.895,6.064,6.294,6.596,6.957,7.352,7.749,8.127,3.932,3.619,3.387,3.304,2.879,2.813,2.848,3.068,3.316,3.637,4.062,4.181,3.648,3.215,2.916,2.806,2.769,3.1,3.463,3.826,4.228,4.256,3.777,3.428,3.189,3.121,3.062,3.186,3.369,3.531,0.506,0.886,1.242,1.552,1.678,1.848,1.874,1.776,1.586,1.332,1.045,0.751,0.466,0.21,0.012,-0.082,-0.034,0.131,0.366,0.648,0.956,1.271,1.577,1.855,2.079,2.216,2.243,2.154,1.973,1.719,-0.125,-0.002,0.178,0.43,0.584,0.945,1.341,1.728,2.079,2.388,2.666,2.937,3.218,3.524,3.871,4.258,4.653,5.016,5.338,5.622,5.877,6.123,6.381,6.668,6.998,7.373,7.77,8.159,8.515,8.823,3.326,3.004,2.689,2.537,2.357,2.225,2.126,2.061,2.045,2.002,2.077,2.059,2.079,2.145,2.312,2.518,2.862,3.26,4.056,4.338,4.204,4.22,4.214,4.244,4.347,4.481,4.7,1.637,1.594,1.452,1.437,1.42,1.363,1.355,1.417,1.421,1.536,1.597,1.678,1.819,3.729,0.007,0.66
0.12,-0.017,3.427,-0.354,0.938,-0.347,-0.351,0.464,0.0,0.07,0.052,3.861,0.007,0.406,0.803,1.182,1.355,1.641,1.807,1.852,1.799,1.672,1.502,1.323,1.157,1.026,0.964,1.013,1.198,1.481,1.816,2.18,2.558,2.941,3.318,3.679,4.006,4.267,4.433,4.489,4.445,4.317,0.194,0.174,0.216,0.341,0.441,0.717,1.079,1.475,1.87,2.249,2.611,2.969,3.333,3.71,4.104,4.499,4.851,5.132,5.35,5.515,5.644,5.762,5.895,6.064,6.294,6.596,6.957,7.352,7.749,8.127,3.932,3.619,3.387,3.304,2.879,2.813,2.848,3.068,3.316,3.637,4.062,4.181,3.648,3.215,2.916,2.806,2.769,3.1,3.463,3.826,4.228,4.256,3.777,3.428,3.189,3.121,3.062,3.186,3.369,3.531,0.43,0.811,1.169,1.481,1.609,1.781,1.811,1.716,1.529,1.278,0.993,0.701,0.419,0.165,-0.03,-0.12,-0.069,0.099,0.337,0.621,0.932,1.249,1.557,1.837,2.064,2.204,2.234,2.149,1.971,1.719,-0.129,-0.01,0.168,0.417,0.57,0.929,1.325,1.712,2.065,2.376,2.657,2.931,3.214,3.522,3.871,4.258,4.653,5.015,5.335,5.616,5.868,6.112,6.367,6.652,6.981,7.354,7.751,8.141,8.498,8.808,3.288,2.955,2.672,2.489,2.333,2.206,2.106,2.036,1.995,2.04,2.061,2.012,2.101,2.127,2.291,2.584,2.855,3.344,4.141,4.249,4.146,4.117,4.102,4.199,4.238,4.386,4.619,1.649,1.515,1.456,1.406,1.397,1.367,1.387,1.392,1.407,1.436,1.516,1.687,1.841,3.861,0.052,0.66
0.14,-0.026,3.389,-0.339,0.943,-0.333,-0.304,0.452,0.0,0.07,0.087,3.966,0.007,0.406,0.803,1.182,1.355,1.641,1.807,1.852,1.799,1.672,1.502,1.323,1.157,1.026,0.964,1.013,1.198,1.481,1.816,2.18,2.558,2.941,3.318,3.679,4.006,4.267,4.433,4.489,4.445,4.317,0.194,0.174,0.216,0.341,0.441,0.717,1.079,1.475,1.87,2.249,2.611,2.969,3.333,3.71,4.104,4.499,4.851,5.132,5.35,5.515,5.644,5.762,5.895,6.064,6.294,6.596,6.957,7.352,7.749,8.127,3.932,3.619,3.387,3.304,2.879,2.813,2.848,3.068,3.316,3.637,4.062,4.181,3.648,3.215,2.916,2.806,2.769,3.1,3.463,3.826,4.228,4.256,3.777,3.428,3.189,3.121,3.062,3.186,3.369,3.531,0.38,0.762,1.123,1.438,1.568,1.746,1.782,1.693,1.511,1.265,0.984,0.696,0.418,0.169,-0.02,-0.106,-0.049,0.125,0.368,0.656,0.97,1.291,1.603,1.888,2.119,2.265,2.301,2.222,2.049,1.802,-0.14,-0.026,0.146,0.39,0.542,0.898,1.294,1.682,2.038,2.353,2.638,2.915,3.203,3.515,3.866,4.255,4.649,5.008,5.325,5.602,5.849,6.088,6.338,6.619,6.944,7.316,7.712,8.103,8.463,8.776,3.168,2.966,2.617,2.435,2.291,2.115,2.008,1.984,1.964,1.973,1.969,1.98,2.037,2.17,2.293,2.528,2.799,3.342,4.278,4.171,4.069,4.027,4.022,4.134,4.166,4.323,4.572,4.901,1.475,1.452,1.431,1.361,1.334,1.321,1.361,1.42,1.493,1.563,1.632,1.838,3.966,0.087,0.66
0.16,-0.026,3.389,-0.318,0.95,-0.313,-0.22,0.427,0.0,0.117,0.123,4.041,0.007,0.406,0.803,1.182,1.355,1.641,1.807,1.852,1.799,1.672,1.502,1.323,1.157,1.026,0.964,1.013,1.198,1.481,1.816,2.18,2.558,2.941,3.318,3.679,4.006,4.267,4.433,4.489,4.445,4.317,0.194,0.174,0.216,0.341,0.441,0.717,1.079,1.475,1.87,2.249,2.611,2.969,3.333,3.71,4.104,4.499,4.851,5.132,5.35,5.515,5.644,5.762,5.895,6.064,6.294,6.596,6.957,7.352,7.749,8.127,3.932,3.619,3.387,3.304,2.879,2.813,2.848,3.068,3.316,3.637,4.062,4.181,3.648,3.215,2.916,2.806,2.769,3.1,3.463,3.826,4.228,4.256,3.777,3.428,3.189,3.121,3.062,3.186,3.369,3.531,0.289,0.674,1.038,1.359,1.492,1.678,1.722,1.64,1.466,1.227,0.952,0.67,0.399,0.156,-0.026,-0.103,-0.038,0.143,0.393,0.687,1.007,1.333,1.65,1.94,2.178,2.332,2.377,2.306,2.14,1.9,-0.15,-0.045,0.12,0.357,0.506,0.858,1.254,1.644,2.003,2.323,2.614,2.898,3.191,3.509,3.864,4.255,4.647,5.002,5.314,5.585,5.826,6.058,6.302,6.576,6.897,7.265,7.66,8.053,8.416,8.735,3.145,2.796,2.566,2.395,2.191,2.089,2.037,1.994,1.962,2.005,1.976,1.947,2.032,2.118,2.312,2.587,2.92,3.396,4.21,4.137,4.032,3.975,3.982,4.065,4.148,4.329,4.544,4.902,1.483,1.408,1.366,1.343,1.358,1.291,1.329,1.43,1.49,1.546,1.683,1.828,4.041,0.123,0.66
0.18,-0.044,3.299,-0.311,0.952,-0.306,-0.188,0.417,0.0,0.117,0.143,4.084,0.007,0.406,0.803,1.182,1.355,1.641,1.807,1.852,1.799,1.672,1.502,1.323,1.157,1.026,0.964,1.013,1.198,1.481,1.816,2.18,2.558,2.941,3.318,3.679,4.006,4.267,4.433,4.489,4.445,4.317,0.194,0.174,0.216,0.341,0.441,0.717,1.079,1.475,1.87,2.249,2.611,2.969,3.333,3.71,4.104,4.499,4.851,5.132,5.35,5.515,5.644,5.762,5.895,6.064,6.294,6.596,6.957,7.352,7.749,8.127,3.932,3.619,3.387,3.304,2.879,2.813,2.848,3.068,3.316,3.637,4.062,4.181,3.648,3.215,2.916,2.806,2.769,3.1,3.463,3.826,4.228,4.256,3.777,3.428,3.189,3.121,3.062,3.186,3.369,3.531,0.254,0.64,1.005,1.328,1.462,1.65,1.697,1.618,1.447,1.21,0.938,0.658,0.388,0.148,-0.032,-0.106,-0.037,0.146,0.398,0.694,1.015,1.343,1.661,1.954,2.194,2.35,2.398,2.33,2.167,1.929,-0.153,-0.05,0.112,0.347,0.495,0.846,1.24,1.631,1.992,2.313,2.606,2.892,3.187,3.506,3.863,4.254,4.646,5.0,5.31,5.578,5.817,6.046,6.287,6.56,6.878,7.245,7.641,8.034,8.398,8.718,3.083,2.765,2.495,2.31,2.164,2.117,1.993,1.944,1.973,1.93,1.887,1.956,1.998,2.112,2.311,2.569,2.965,3.524,4.164,4.004,3.913,3.948,3.894,3.983,4.111,4.297,4.56,4.772,1.457,1.378,1.322,1.297,1.298,1.292,1.309,1.352,1.472,1.508,1.63,1.793,4.084,0.143,0.66
